uuid,rank,country_code,region,city,investment_type,raised_amount_usd,post_money_valuation_usd,investor_count,org_uuid,lead_investor_uuids
1bf5d94f-e9d3-59b8-ed2e-ec2195fc22de,232397.0,DEU,Bayern,Nuremberg,series_unknown,25000000.0,,8.0,12ac68f6-ce50-2f52-8629-bd89bddaf562,
c5d771a4-8938-a422-dc35-6a93a6ec35fe,58563.0,CHN,Beijing,Beijing,series_b,25000000.0,,3.0,9bb16475-8eb2-51d8-ddb9-94c35295247f,
48d2c5e2-03df-4aaa-8993-1a3d8d5eeba6,244752.0,USA,California,Sunnyvale,series_e,25000000.0,,6.0,bd08d4b4-1ff2-1610-bdd9-d170635736ef,
0a34a553-6d4a-1474-9a96-f68902a6f8c6,110293.0,GBR,England,London,series_unknown,21720000.0,,1.0,7511983f-3242-715c-7284-7f73981c8e49,a900d938-3275-9c89-882b-27ca054d031a
c25281be-5702-fea0-d084-8782c5ff6878,343320.0,DEU,Berlin,Berlin,series_unknown,17430000.0,,5.0,8c2a6e95-468b-840c-75bc-7ebe3ec36914,
26783de7-7df9-ab6b-7ea5-b945bf575044,318281.0,USA,California,Santa Clara,series_d,17000000.0,,6.0,c52801ee-324b-cdc6-8c6e-55e4d61d556c,3213cd7d-06e0-3ecb-3359-29aa8deddfa6
800c00b9-18c2-a8a7-9b6b-0fa009c721f0,108332.0,USA,Ohio,Cleveland,seed,60000.0,,2.0,335befd0-ad61-0922-0503-20f577a5a3b8,
b399bd38-2164-1e24-0a4a-0a5b2db554cb,140488.0,USA,Virginia,Reston,series_a,16000000.0,,4.0,baf04220-5cc4-5088-48d9-50198cacb58b,
deac72e5-ec0d-b66d-5c23-30cee69526c5,162345.0,DEU,Bayern,Nuremberg,series_unknown,28000000.0,,6.0,12ac68f6-ce50-2f52-8629-bd89bddaf562,0268c659-816e-00aa-2bc8-8f7b9fa5f86c
b8f2c50f-b967-68c4-cfb8-e49d00a6b256,224591.0,DEU,Bayern,Nuremberg,series_b,21500000.0,,4.0,12ac68f6-ce50-2f52-8629-bd89bddaf562,
a90ca7a7-5f13-0f43-db5e-496fccc2cefb,189492.0,DEU,Bayern,Nuremberg,series_c,15000000.0,,5.0,12ac68f6-ce50-2f52-8629-bd89bddaf562,0268c659-816e-00aa-2bc8-8f7b9fa5f86c
a7afa426-3f72-eded-7b67-5470ae4b81a5,159020.0,USA,New Jersey,Fair Lawn,seed,300000.0,,,37affc98-010d-3291-4ee8-85416cf3b7b3,
2b229f86-744c-38e6-c08c-a9b421854848,263464.0,USA,California,Mountain View,series_unknown,15000000.0,,4.0,f8a9439f-0d10-2bcd-9f86-0e4063f27f05,a34c63f0-c277-3e4b-bbfc-1868ca81596d
39314de6-78e7-cdba-9b1b-7390d23bc394,133043.0,GBR,Bracknell Forest,Bracknell,series_unknown,15000000.0,,5.0,94201567-a11e-b62a-c0f6-7da05cd741a7,466515f3-f84f-6afc-b3cf-3b812dfa0126
f387f52a-db5b-0283-b531-8c62e4229013,246761.0,USA,California,San Francisco,debt_financing,1500000.0,,11.0,ead31184-8413-76a0-f70f-f8dcd489cdc6,
52f1d70e-ec91-66ce-040c-67a12f5b1990,219639.0,USA,Oregon,Hillsboro,series_c,14500000.0,,6.0,a3adbd6f-d75e-28b8-13b5-ff4cde806fbb,3eb9d040-1487-8d0e-4db8-72ec93ce32a5
304c3d95-485b-576a-9753-356456b91398,255867.0,USA,Florida,Satellite Beach,seed,270000.0,,5.0,1198d082-65e3-b633-3fd8-5893c34cc29e,
92f16ec0-2f60-7a41-ab41-ee8a54dd1b28,222248.0,GBR,England,London,seed,20000.0,,,40ea0bad-4c1c-c995-04fd-7866625aca32,
5fdb3dbe-eb6e-ea02-4370-2adc372130f3,209105.0,USA,New York,New York,series_a,1250000.0,,1.0,4e18aa16-8180-6349-3354-27e7a2dc6ce2,
2ea612b6-7a69-f936-fecf-703132390d68,182665.0,USA,Minnesota,Minneapolis,series_c,15000000.0,,4.0,212ec3a2-94bc-b33c-717c-a37d8721cf71,2d0a5bf0-e53e-9a07-2243-9bcd561421ec
b6354ab8-a4a5-7abc-b782-e4518baa1495,239536.0,IRL,Dublin,Dublin,seed,287617.0,,1.0,23c10470-97f5-9a0a-97ae-db442c473ecb,
85853ee8-f707-be6f-2fb9-8588f463db30,115032.0,USA,California,San Francisco,seed,584970.0,,2.0,386c5cb2-12cf-5c8a-2415-80f2dc4aa7d2,
be6a9edd-bbe5-4a2b-b72b-04cb932499ba,222232.0,USA,Virginia,Dulles,series_a,,,1.0,7982fdfb-b6d5-f90d-7a93-7b90fe1023f0,
33a93ece-a430-e45c-7f6a-30bec40b5e35,310951.0,USA,Virginia,Dulles,series_b,10000000.0,,2.0,7982fdfb-b6d5-f90d-7a93-7b90fe1023f0,3213cd7d-06e0-3ecb-3359-29aa8deddfa6
a4bebe85-8183-7e32-569f-2c2460a00069,187255.0,JPN,Tokyo,Tokyo,series_unknown,14360000.0,,1.0,24255dd4-6b66-5806-32b9-6b2d9faeb229,
