company_name,employee_count,num_funding_rounds,fd_rd_latest_investment,cat_lending_invests,cat_payments,cat_commerce_shopping,first_fund_investor_count,first_fund_post_money,num_exec,fd_rd_num_invested_by_top_100,average_momentum
Gaia Japan,1,4.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,2.2899306386198788
SPARQ,2,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.2118436529051015
Wishfin.com,3,2.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,6.066686888956308
Stably,1,2.0,2.0,0.0,1.0,0.0,6.0,0.0,3.0,1.0,1.0970153347072142
Cuvva,4,4.0,2.0,0.0,1.0,0.0,9.0,0.0,10.0,1.0,1.0371781604585728
Notabene,1,3.0,1.0,0.0,1.0,0.0,5.0,0.0,4.0,0.0,4.2426228377283
Sparrow,4,3.0,2.0,1.0,1.0,0.0,0.0,1190000.0,1.0,0.0,3.6323902707619364
TempoIQ,2,4.0,2.0,0.0,0.0,0.0,11.0,0.0,7.0,0.0,3.3329950841887475
Veriff,4,5.0,2.0,0.0,0.0,0.0,2.0,0.0,13.0,1.0,4.0372317925572885
Coinsquare,3,5.0,3.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,2.9148582409708763
Ulule,2,3.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.8131729868921557
Abacus,1,2.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,7.038035339922128
Payaut,1,2.0,1.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,3.7497038880747766
DoxyChain,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9362966448336865
Brickbro,2,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.036121759580078
MUNITEDPASS TECHNOLOGIES,4,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.9666620641144616
SmartFincas,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.7576955406561487
Storj Labs,2,7.0,1.0,0.0,0.0,0.0,5.0,0.0,18.0,0.0,1.5314144047713174
"TakeMe Co., Ltd.",2,6.0,2.0,0.0,1.0,1.0,14.0,0.0,3.0,0.0,1.5030564506261055
Snoop,2,2.0,1.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,4.180602607928514
Ubersense,1,5.0,1.0,0.0,0.0,0.0,10.0,0.0,13.0,0.0,2.4325122639159966
Digitzs,2,6.0,1.0,0.0,1.0,0.0,1.0,0.0,21.0,0.0,2.5378248638671868
SmartKassa,1,3.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,5.139414684483793
Finli,1,2.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,3.5896127941357063
