company_name,num_funding_rounds,fd_rd_latest_investment,cat_lending_invests,cat_payments,cat_commerce_shopping,first_fund_investor_count,first_fund_post_money,num_exec,fd_rd_num_invested_by_top_100,tree_prediction,average_momentum
Fuzhi Zhijia,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,4.288598648348874
Notabene,3.0,1.0,0.0,1.0,0.0,5.0,0.0,4.0,0.0,1,4.2426228377283
worig,2.0,1.0,0.0,0.0,0.0,2.0,686904.0,3.0,0.0,1,4.236137521763881
Paykii,3.0,1.0,0.0,1.0,0.0,3.0,8619000.0,7.0,0.0,1,4.154056139101538
Let'sGrant,3.0,2.0,1.0,0.0,0.0,1.0,6105000.0,1.0,0.0,1,4.106710983511784
StormX,4.0,1.0,0.0,1.0,0.0,9.0,0.0,9.0,0.0,1,4.076276991374325
TrustaBit,3.0,1.0,0.0,0.0,0.0,1.0,6000000.0,2.0,0.0,1,4.070802757699363
Veriff,5.0,2.0,0.0,0.0,0.0,2.0,0.0,13.0,1.0,1,4.0372317925572885
Venture For Canada,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1,3.9831152027092656
CodeIsTrust,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,3.98153040864016
Mineful,3.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1,3.972288946271352
Ankr,3.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1,3.9690541807904194
SwissBorg,3.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1,3.9673154622716593
Zilch Technology,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3.9666798889329633
Primer,3.0,2.0,0.0,1.0,0.0,9.0,0.0,1.0,1.0,1,3.9572951716751503
Ledger Investing,4.0,2.0,0.0,0.0,1.0,10.0,0.0,4.0,0.0,1,3.9334950841220246
Owl.co,2.0,1.0,1.0,0.0,0.0,7.0,0.0,4.0,0.0,1,3.930434247793505
RoadSync,4.0,2.0,0.0,1.0,0.0,4.0,0.0,8.0,0.0,1,3.8975243452117527
Deel,5.0,3.0,0.0,1.0,0.0,13.0,0.0,10.0,3.0,1,3.813620181440741
Harbor,3.0,2.0,0.0,1.0,0.0,1.0,0.0,17.0,1.0,1,3.800114003420104
GoCoin,3.0,2.0,0.0,1.0,0.0,15.0,0.0,17.0,0.0,1,3.758431744901392
Payaut,2.0,1.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,1,3.7497038880747766
Shopline,5.0,1.0,0.0,1.0,1.0,11.0,0.0,6.0,0.0,1,3.744623919785069
Green Seed Investments,2.0,2.0,1.0,0.0,0.0,3.0,2400000.0,2.0,0.0,1,3.734827264239032
Avuba,3.0,1.0,0.0,1.0,0.0,9.0,0.0,4.0,0.0,1,3.7311541676718414
Payvil,4.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1,3.7144097477225135
BharatPe,4.0,4.0,0.0,1.0,0.0,5.0,0.0,6.0,3.0,1,3.696828936006527
Sandbox Banking,6.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1,3.664521424910285
DwellAware,2.0,1.0,0.0,0.0,0.0,7.0,0.0,24.0,0.0,1,3.647961659588283
TradeHero,3.0,2.0,1.0,0.0,0.0,1.0,0.0,12.0,1.0,1,3.634455906945127
Sparrow,3.0,2.0,1.0,1.0,0.0,0.0,1190000.0,1.0,0.0,1,3.6323902707619364
Xfers,5.0,1.0,1.0,1.0,1.0,13.0,0.0,6.0,1.0,1,3.6241649573703816
QUIN,2.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,1,3.618682388911092
Neyber,5.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1,3.612028209405848
Finli,2.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1,3.5896127941357063
VALU,4.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1,3.589251854016138
OpenSea,3.0,1.0,0.0,1.0,1.0,17.0,0.0,2.0,1.0,1,3.5733456139974082
AeMoney.com,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,3.5536859107320296
WealthArc,4.0,1.0,0.0,0.0,0.0,1.0,9200000.0,3.0,2.0,1,3.5506647568973118
OkCredit,3.0,3.0,1.0,0.0,0.0,3.0,0.0,5.0,2.0,1,3.548941071285075
Lemon Cash,2.0,1.0,0.0,1.0,0.0,1.0,7840000.0,0.0,0.0,1,3.5329953116197355
Indorse,3.0,1.0,0.0,1.0,0.0,1.0,0.0,14.0,1.0,1,3.49933172462169
Cred,6.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1,3.495328359212208
PayCore.io,2.0,1.0,0.0,1.0,1.0,0.0,900000.0,1.0,0.0,1,3.49022736338253
Lexin,5.0,4.0,1.0,0.0,1.0,2.0,0.0,4.0,1.0,1,3.4769383582097326
WorkPay,2.0,1.0,0.0,1.0,0.0,6.0,0.0,2.0,1.0,1,3.4576767072278747
VertoFX,3.0,1.0,0.0,1.0,1.0,6.0,0.0,2.0,1.0,1,3.4569871027788857
KyePot,5.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1,3.4498514338637376
Datamolino,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1,3.442561224048484
Kadena,4.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,1,3.4273628559329565
DOVU,3.0,1.0,0.0,1.0,0.0,2.0,0.0,12.0,0.0,1,3.4161276257552804
TruStory,2.0,1.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,1,3.4125986939054105
Back Office,3.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,1,3.4125986939054087
Black Swan Technology,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,3.4125986939054083
PayMyTab,2.0,1.0,0.0,1.0,1.0,1.0,16750000.0,1.0,0.0,1,3.4000113333711166
goDutch,2.0,1.0,0.0,1.0,0.0,11.0,0.0,3.0,0.0,1,3.3426604342223736
